M/Y,category,price
2022-08,Food & Beverage,469.27418710574966
2021-12,Food & Beverage,493.7725845932307
2021-11,Food & Beverage,607.235289303545
2021-05,Transportation,26.16916707884465
2021-10,Luxury,7678.837222797578
2022-05,Food & Beverage,165.0219115322384
2022-03,Cosmetics,674.6036995496027
2021-01,Clothing,362.21360073925143
2021-11,Clothing,225.65014724715942
2021-08,Clothing,223.44451562826367
2022-12,Food & Beverage,138.21940372961464
2022-10,Technology,4542.725728875018
2022-07,Food & Beverage,369.88569928621064
2022-11,Food & Beverage,360.7616947070251
2022-06,Clothing,340.41317451797056
2021-11,Transportation,33.57190623675214
2021-01,Hotel,2542.700226083631
2022-01,Food & Beverage,664.4552080520613
2021-07,Transportation,20.575724198180406
2023-03,Food & Beverage,316.76641771841986
2023-02,Transportation,22.977978161024904
2021-05,Food & Beverage,487.0677507533608
2022-06,Food & Beverage,569.10901056345
2021-10,Technology,8847.493215332885
2022-12,Luxury,9803.499507365355
2021-05,Food & Beverage,572.1140593141768
2022-04,Cosmetics,505.2104701557819
2022-10,Food & Beverage,242.58399396492825
2022-08,Transportation,34.41998026084573
2021-04,Cosmetics,708.5405917123235
2022-07,Food & Beverage,148.25109148411897
2021-11,Food & Beverage,329.78268047783394
2022-02,Food & Beverage,317.334175836489
2021-07,Food & Beverage,408.4785627016219
2022-08,Food & Beverage,99.8667724692239
2023-01,Food & Beverage,635.2994425817133
2022-06,Transportation,35.62628566870704
2022-07,Transportation,25.7985065676623
2022-02,Food & Beverage,277.7361521808422
2022-12,Clothing,398.7322002755411
2021-09,Food & Beverage,68.53163832969052
2022-02,Cosmetics,850.7818362372964
2022-04,Cosmetics,823.9013087775686
2022-06,Food & Beverage,631.4852734599191
2022-04,Food & Beverage,205.55660305837634
2022-12,Technology,7266.605951930058
2023-01,Cosmetics,958.8618685871181
2022-11,Clothing,289.57255565610757
2022-02,Cosmetics,888.436633422746
2021-06,Hotel,2694.5355487822026
2021-08,Cosmetics,735.6484099523003
2023-02,Luxury,7428.263899258588
2023-01,Cosmetics,638.2978476066928
2022-02,Technology,5762.598483728592
2021-03,Food & Beverage,149.27608851663024
2022-01,Clothing,292.02948183922103
2021-11,Food & Beverage,532.0204943201784
2021-04,Clothing,224.30689487939998
2021-06,Food & Beverage,114.86035284792706
2021-12,Hotel,4024.584507640211
2022-06,Clothing,257.91921029646153
2021-11,Transportation,24.424545633853896
2021-02,Transportation,29.45894597550011
2022-03,Transportation,26.96675381552079
2022-05,Cosmetics,877.5873657294806
2022-10,Transportation,22.782030811913792
2022-01,Food & Beverage,150.61826015509425
2021-03,Food & Beverage,309.4749925433799
2022-04,Cosmetics,551.2107223595511
2021-11,Technology,9983.29536988594
2022-09,Food & Beverage,603.7116376961836
2021-09,Cosmetics,676.1727600588999
2022-08,Food & Beverage,101.4051247651031
2021-10,Transportation,20.808707982247753
2023-01,Transportation,21.33912003257002
2021-06,Transportation,26.479557903924597
2021-04,Food & Beverage,201.56015364940993
2021-09,Transportation,29.393078621116572
2022-07,Food & Beverage,118.88816067708831
2021-07,Food & Beverage,425.1783599142047
2022-11,Transportation,36.73262694453851
2023-01,Cosmetics,664.8437000075687
2021-03,Food & Beverage,437.7858216749078
2022-09,Food & Beverage,144.44061869638324
2022-02,Food & Beverage,336.1279284924261
2021-04,Food & Beverage,538.6591675554733
2022-10,Transportation,31.62852162474648
2022-04,Food & Beverage,77.59459834251444
2022-06,Food & Beverage,143.03105530710596
2023-01,Transportation,29.946512638061467
2022-08,Technology,9481.805380347567
2021-10,Transportation,23.309386132010687
2021-07,Food & Beverage,648.2352175250861
2022-12,Cosmetics,702.5653017178429
2021-06,Food & Beverage,464.115597597347
2021-12,Food & Beverage,605.2107570909355
2022-12,Food & Beverage,482.43131206603556
2022-08,Food & Beverage,667.2045872193369
2022-07,Transportation,20.750838255981723
2021-05,Food & Beverage,650.7063658160532
2022-05,Technology,5225.36153463576
2022-12,Food & Beverage,214.29584619643933
2023-01,Transportation,28.61529495576209
2021-09,Transportation,25.631480488529803
2022-02,Cosmetics,535.70008460705
2022-01,Food & Beverage,396.02935344688836
2022-02,Clothing,377.8687667288538
2022-10,Clothing,245.43859708561848
2022-09,Food & Beverage,497.17418420241125
2021-12,Cosmetics,861.4474865415234
2021-08,Food & Beverage,237.2010418619135
2021-10,Food & Beverage,239.58849390858228
2021-11,Flight Ticket,4768.951866208021
2022-03,Food & Beverage,310.87008970686776
2022-10,Food & Beverage,587.9313426980989
2022-01,Clothing,310.4194743532949
2021-06,Transportation,22.86906563574208
2023-01,Food & Beverage,394.7570646246726
2021-11,Food & Beverage,107.13533983146036
2022-09,Food & Beverage,94.5170786590463
2021-05,Cosmetics,877.619923321754
2021-12,Transportation,38.09674786201482
2022-04,Technology,4237.832291923754
2021-06,Food & Beverage,299.58038504000575
2022-02,Food & Beverage,576.3372761889095
2021-08,Food & Beverage,541.5749295987683
2021-12,Food & Beverage,611.9095376036587
2021-02,Clothing,318.1988065633153
2021-10,Clothing,328.9634209061383
2022-08,Food & Beverage,398.8989170398104
2021-09,Food & Beverage,370.56218603738444
2021-10,Food & Beverage,92.14947426108196
2021-12,Food & Beverage,210.93817799807363
2021-06,Clothing,237.44911284097628
2021-04,Food & Beverage,187.35019521754532
2021-12,Technology,5101.283888434194
2021-05,Cosmetics,510.4241339083088
2022-04,Technology,3391.53538299109
2021-12,Clothing,218.87143319067954
2021-02,Technology,2706.1109802873025
2021-10,Transportation,31.610743998516064
2022-12,Food & Beverage,120.55595330849407
